Case ID,Case title,Case family,Fit to social science,Short description,Empirical unit of analysis,Primary AI capability,Secondary AI capability,Primary research stage,Method traditions,Institutional setting,Observable human actors,Candidate roles tested,Primary typology leverage,Key typology question,Observable artifacts / traces,Key outcomes observed,What would weaken / falsify the role claim,Main confounds / risks of misreading,Feasibility,Evidence status,Program priority,Portfolio group,Why this case has high leverage,Primary source URL,Secondary source URL,Notes,case_slug,collection_status,source_count_total,source_count_primary,raw_files_count,extracted_text_count,artifacts_captured_count,analysis_ready,main_limitations,last_updated,collector_notes
11,LLM-assisted grant proposal ideation in competitive funding calls,"Agenda, theory & discovery",Direct social-science,"Compare AI-assisted and non-assisted proposal ideation under real funding calls to test whether AI changes what gets proposed, not just how it is written.","Proposal abstracts, aims pages, ideation memos, and AI-use traces",Generative,,Agenda setting / proposal framing,Science of science; organizational sociology,Grant competition,"PI, funder-facing applicant, postdoc, doctoral student",Relevance adjudicator; accountability and labor allocator,Conditional,Does AI compress agendas toward institutionally legible questions?,"Draft histories, semantic-distinctiveness scores, reviewer comments, AI-use logs","Novelty, semantic distinctiveness, stakeholder relevance, funding outcomes",AI use leaves distinctiveness and stakeholder relevance unchanged or improves both,"Austerity, field maturity, and call design can compress agendas even without AI",Medium,Preprint,High,Boundary,"Without a funding case, relevance adjudication remains underspecified and too abstract.",https://arxiv.org/abs/2601.15485,https://arxiv.org/abs/2409.04109,,011_grant_proposal_ideation,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
12,Funding-pipeline agenda compression under LLM-assisted proposal writing,"Agenda, theory & discovery",Direct social-science,"Link inferred AI involvement in submitted proposals to semantic distinctiveness, reviewer reactions, and downstream publication novelty.","Proposal texts, award records, downstream publication traces",Generative,,Agenda setting / funding evaluation,Science of science; bibliometrics,Funding pipeline,"PI, reviewer, program officer",Relevance adjudicator; accountability and labor allocator,Conditional,Is relevance adjudication a robust role or mainly an institution-specific pressure point?,"Proposal text corpora, semantic embeddings, award outcomes, reviewer reports","Distinctiveness, success rate, long-run impact, reviewer language",Higher AI involvement predicts equal or greater long-run novelty,Causal inference is hard because ambitious labs may both use AI and write better proposals,Medium,Preprint,Medium,Boundary,It converts abstract worries about agenda compression into observable portfolio-level evidence.,https://arxiv.org/abs/2601.15485,,,012_funding_pipeline_agenda_compression,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
13,Scideator-style facet recombination for social-science prospectus ideation,"Agenda, theory & discovery",Boundary / adjacent benchmark,Adapt facet-recombination interfaces to social-science dissertation or proposal ideation and compare human-only with human-LLM compound ideation.,Prospectus ideas generated from fixed seed-paper sets,Generative,,Idea generation / agenda setting,Human-computer interaction; social-science methods,Doctoral training / lab ideation,"Doctoral student, PI, methods mentor",Relevance adjudicator; mechanism disciplinarian,Conditional,When does human-guided ideation still matter once novelty support is strong?,"Facet selections, idea sketches, novelty checks, revision notes","Perceived novelty, feasibility, public relevance, idea diversity",Human-LLM ideation does not outperform simple prompting or human-only ideation on meaningful criteria,Existing Scideator evidence is not social-science-specific and may overstate transfer,Medium,Preprint,Medium,Split-Merge,Useful for separating novelty assistance from substantive relevance judgment.,https://arxiv.org/abs/2409.14634,https://arxiv.org/abs/2409.04109,,013_scideator_facet_recombination,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
14,ResearchBench / DiscoveryBench sociology and economics discovery tasks,"Agenda, theory & discovery",Boundary / adjacent benchmark,"Use benchmark tasks drawn from sociology and economics to test whether AI supports inspiration retrieval, hypothesis composition, or ranking differently.",Benchmark tasks derived from published discovery workflows,Agentic,Generative,Hypothesis generation / discovery,Computational discovery; benchmarked social-science tasks,Methods lab / benchmark environment,"Benchmark designers, methods researchers",Mechanism disciplinarian; relevance adjudicator,Split,Should theory-building be split into inspiration retrieval and mechanism discipline rather than treated as one role?,"Benchmark traces, retrieved inspirations, generated hypotheses, ranking outputs","Performance by subtask, failure concentration at composition/ranking, cross-domain stability","LLMs perform equally well across retrieval, composition, and ranking on social-science tasks",Benchmarks simplify open-ended theory work and may understate institutional context,Medium,Preprint / benchmark,Medium,Split-Merge,It is one of the few ways to decompose early-stage discovery work with controlled tasks.,https://arxiv.org/abs/2503.21248,https://arxiv.org/abs/2407.01725,,014_researchbench_discoverybench_tasks,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
15,Multi-agent scientific idea generation as a boundary case for social-science agenda work,"Agenda, theory & discovery",Boundary / adjacent benchmark,"Treat agent teams that brainstorm, critique, and refine ideas as a boundary case for whether collaborative AI can displace human agenda setting.",Generated idea portfolios and reviewer scores,Agentic,Generative,Idea generation / early design,Autonomous-discovery benchmarking,Benchmark lab,"Human evaluator, benchmark designer",Relevance adjudicator; mechanism disciplinarian,Boundary,Do multi-agent gains in novelty imply anything about social-science relevance or mechanism quality?,"Idea portfolios, novelty metrics, reviewer ratings, comparison prompts","Novelty, feasibility, diversity, alignment with research trends",Multi-agent idea generation produces socially relevant and mechanism-rich agendas without human filtering,Most evidence comes from non-social-science domains and model-internal evaluations,Medium,Preprint,Low-Medium,Boundary,Helpful because it pressures the temptation to generalize from scientific ideation benchmarks to social-science role claims.,https://arxiv.org/abs/2410.09403,https://arxiv.org/abs/2409.04109,,015_multi_agent_idea_generation,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
16,AI conversational interviewing on welfare stigma or political fear,"Interviews, fieldwork & qualitative interpretation",Direct social-science,"Compare AI-only, human-only, and human+AI interviewing on sensitive topics to test whether rapport, repair, and ethical pause remain constitutive.","Interview transcripts, paradata, and participant feedback across experimental conditions",Generative,,Interviewing / data generation,Qualitative methods; survey interviewing,Field interview study,"Interviewer, respondent, PI",Situated interlocutor; accountability and labor allocator,Robust,Is situated interlocution a distinct role or just generic ethics and protocol management?,"Repair episodes, follow-up questions, trust ratings, dropout data, note logs","Disclosure depth, rapport, trust, mode effects, downstream interpretive utility","AI-only interviewing matches humans on trust, repair, and interpretive usefulness",Mode effects depend heavily on topic sensitivity and respondent population,Medium,Preprint,High,Anchor,It directly tests whether the human changes the data that come into existence.,https://arxiv.org/abs/2410.01824,,,016_ai_conversational_interviewing,complete,1,1,1,1,5,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
17,Dynamic Surveys with AI-generated follow-ups and cluster reports,"Interviews, fieldwork & qualitative interpretation",Direct social-science,"Use dynamic surveys to test a middle ground between structured surveys and interviews, with AI-generated follow-ups and emergent cluster reports.","Open-ended survey responses, generated follow-up questions, cluster ratings, stakeholder interviews",Generative,Predictive,Data collection / interpretation,Survey methods; HCI; mixed-methods,Survey platform / classroom or community feedback setting,"Survey creator, respondent, stakeholder reader",Situated interlocutor; context witness; protocol architect,Conditional,Where does human interaction matter when AI generates tailored follow-up questions but the setting is still a survey?,"Follow-up prompts, cluster logs, stakeholder interviews, ranking data","Depth of follow-up responses, cluster accuracy, stakeholder utility, respondent experience",Dynamic surveys produce equivalent depth and usefulness without any human interpretive scaffolding,Educational settings may not generalize to high-stakes public-policy or vulnerable populations,Medium,Peer-reviewed conference paper,Medium,Boundary,Excellent hybrid case because it pressures the line between interviewing and structured surveying.,https://tech4good.soe.ucsc.edu/assets/docs/cscw-2025-dy.pdf,,,017_dynamic_surveys_followups,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
18,QDA delegation preferences: human-only versus human-initiated versus AI-initiated coding,"Interviews, fieldwork & qualitative interpretation",Direct social-science,Study how qualitative researchers choose among delegation levels in coding and thematic analysis.,Interview data from qualitative researchers about preferred delegation levels,Generative,,Qualitative analysis / delegation choice,HCI; qualitative methods,Qualitative research lab,"Qualitative analyst, methods lead",Context witness; protocol architect; accountability and labor allocator,Split,Should context witness be separated from protocol architecture and ownership in qualitative analysis?,"Preference interviews, scenario rankings, trust/ownership themes","Delegation preferences, ownership concerns, trust thresholds, perceived safe-use zones",Researchers show no meaningful distinction between delegation levels or between ownership and context concerns,Self-reported preferences may not match real delegated practice,High,Preprint,High,Split-Merge,It is one of the best cases for role splitting inside qualitative analysis without requiring live fieldwork.,https://arxiv.org/abs/2509.18297,https://arxiv.org/abs/2501.19275,,018_qda_delegation_preferences,complete,2,1,2,2,3,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
19,AI-assisted memoing of ethnographic or historical fieldnotes,"Interviews, fieldwork & qualitative interpretation",Direct social-science,Compare memo trails and final claims produced from the same fieldnote corpus with and without AI assistance.,"Fieldnotes, memo histories, and final analytic claims",Agentic,Generative,Memoing / qualitative interpretation,Ethnographic; historical; interpretive,Field site / archival project,"Ethnographer, analyst",Context witness; mechanism disciplinarian,Split,Does later interpretive correction rely on a role distinct from the interviewer who produced the interaction?,"Memo versions, ambiguity-retention markers, analytic corrections, reflexive logs","Category stabilization, ambiguity retained versus collapsed, claim revisions",AI-assisted and human-only memo trails converge without loss of contextual subtlety,Some fieldnotes are highly systematic and easier for AI than live field settings,Medium,Forum article / boundary evidence,High,Split-Merge,It is the best case for making tacit contextual knowledge visible after data collection is over.,https://www.cambridge.org/core/journals/cambridge-forum-on-ai-culture-and-society/article/reading-childrens-moral-dramas-in-anthropological-fieldnotes-a-humanai-hybrid-approach/66341B0CAC7E8192FD1F3CA3E8BE106F,https://arxiv.org/abs/2501.19275,,019_ai_assisted_fieldnote_memoing,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
20,LLM-guided reflexive content analysis and codebook redesign,"Interviews, fieldwork & qualitative interpretation",Direct social-science,"Use reflexive content analysis to test whether AI support works only when human researchers redesign prompts, codebooks, and interpretive checkpoints.",Text passages plus iterative prompt/codebook redesign records,Generative,,Qualitative coding / reflexive analysis,Digital sociology; qualitative methods,Qualitative methods project,"Qualitative analyst, methods instructor",Construct boundary setter; context witness; protocol architect,Transformed,"Does the human role shift from coding passages to redesigning prompts, checkpoints, and codebooks for reflexive analysis?","Prompt templates, codebook redesigns, analyst reflections, comparison outputs","Coding fidelity, interpretive fit, transparency of analytic process",Simple one-shot prompting performs as well as redesigned reflexive workflows,Method-specific guidance may overfit a narrow coding style,Medium,Peer-reviewed article,Medium,Boundary,Useful for seeing whether qualitative rigor comes from the workflow redesign rather than from the model alone.,https://link.springer.com/article/10.1140/epjds/s13688-025-00548-8,,,020_reflexive_content_analysis_redesign,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
21,Synthetic respondents benchmarked against ANES/GSS/ESS,Predictive simulation & design,Direct social-science,"Benchmark prompt-only personas, profile-rich personas, and calibrated hybrids against real survey descriptives and higher-order relationships.",Matched synthetic and human survey responses plus modelled relationships,Predictive,Generative,Simulation / inference support,Survey research; quantitative political science,Survey lab,"Survey methodologist, PI",Counterfactual and transportability judge; calibration architect,Split,Should predictive-AI use in surveys split counterfactual judgment from calibration work?,"Prompt templates, synthetic responses, regression outputs, subgroup breakdowns","Recovery of means, slopes, interactions, subgroup heterogeneity, prompt sensitivity",Synthetic panels recover higher-order relationships and heterogeneity as well as human data,Human benchmark surveys are themselves noisy and historically contingent,High,Peer-reviewed article,High,Anchor,It is the clearest case for splitting calibration from broader causal or transport claims.,https://www.cambridge.org/core/journals/political-analysis/article/synthetic-replacements-for-human-survey-data-the-perils-of-large-language-models/B92267DC26195C7F36E63EA04A47D2FE,https://arxiv.org/abs/2509.05830,,021_synthetic_respondents_benchmarked,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
22,Fine-tuned SocSci210 human-behavior simulators,Predictive simulation & design,Direct social-science,Test whether fine-tuning on past open experiments changes the human role from first-pass prediction to calibration and scope setting.,Model predictions over 210 open social-science experiments,Predictive,,Simulation / hypothesis screening,Experimental and computational social science,Methods lab,"Methodologist, doctoral student",Calibration architect; counterfactual and transportability judge,Transformed,What remains for humans once behavior-prediction quality improves materially after fine-tuning?,"Training/eval splits, distributional error metrics, fairness metrics, screening decisions","Prediction alignment, generalization to new studies/conditions, bias reduction",Fine-tuned models generalize so well that human calibration rarely changes use decisions,Benchmark overfitting can overstate real screening value,High,Preprint / conference paper,High,Anchor,It pressures the most plausible transformed role under predictive AI: calibration.,https://arxiv.org/abs/2509.05830,,,022_socsci210_behavior_simulators,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
23,Forecasting outcomes before field experiments,Predictive simulation & design,Direct social-science,Inject AI forecasts into preregistration or design workflows and observe which design decisions actually change.,"Preregistrations, forecast logs, design revisions, ex post results",Predictive,,Research design / preregistration,Experimental economics; political science; policy evaluation,Design team / lab,"PI, design team, methods advisor",Counterfactual and transportability judge,Robust,"Does predictive success alter what is worth identifying, or only improve calibration?","Forecast logs, redesign memos, preregistration diffs, final outcomes","Calibration, novelty, theoretical sharpness, changed outcome measures or estimands",Forecast-informed redesign improves calibration without narrowing novelty or explanatory ambition,Extra deliberation time may drive gains rather than the forecast itself,Medium,Preprint,High,Anchor,This is the most direct case for whether predictive AI changes design judgment rather than merely speeds it.,https://arxiv.org/abs/2504.01167,,,023_forecasting_before_field_experiments,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
24,AI multiverse / nonstandard errors in autonomous empirical analysis,Predictive simulation & design,Direct social-science,Run many autonomous agents on the same data and hypothesis to estimate nonstandard errors from model and sampling variation.,"Independent AI-agent reports, code, estimates, and revision-stage changes on identical tasks",Agentic,Predictive,Empirical analysis / design diagnostics,Empirical economics; methodological diagnostics,Methods lab / benchmark environment,"Methodologist, agent orchestrator",Counterfactual and transportability judge; protocol and provenance architect,Split,Are some human roles really about specifying forks and multiverse boundaries rather than doing the analysis itself?,"Agent traces, measure-choice forks, revision-stage convergence, report outputs","Dispersion of estimates, convergence after feedback, model-family preferences",AI agents converge naturally to the same defensible result without multiverse management,Tasks may overstate ambiguity if the research question is intentionally underspecified,Medium,Preprint,High,Split-Merge,"It makes latent fork choices visible and quantifiable, which is rare in human-only workflows.",https://arxiv.org/abs/2603.16744,https://ape.socialcatalystlab.org/,,024_ai_multiverse_nonstandard_errors,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
25,Project APE end-to-end autonomous policy evaluation tournament,Predictive simulation & design,Direct social-science,"Use APE's public papers, matches, and audit materials to study what human roles remain when an agentic system writes empirical economics papers end-to-end.","APE papers, tournament matches, code/data packages, and leaderboard records",Agentic,Generative / Predictive,End-to-end policy evaluation,Empirical economics; policy evaluation,Public autonomous-research project,"Human initializer, reviser, external critic, tournament designer",Relevance adjudicator; protocol and provenance architect; counterfactual and transportability judge; accountability and labor allocator,Boundary,"When an autonomous pipeline spans idea generation, data retrieval, code, analysis, and writing, which human roles remain constitutive?","Prompt seeds, leaderboard stats, paper versions, replication materials, public issue reports","Autonomy gradient, paper quality signal, revision effects, integrity-check failure rates",APE outputs prove reliable enough that human boundary-setting and accountability no longer materially change use decisions,APE's tournament is an internal quality proxy and may not map to real journal or policy standards,Medium,Public project / live website,High,Boundary,Project APE is the strongest real-world pressure test of the whole typology because it tries to automate the full workflow in a social-science domain.,https://ape.socialcatalystlab.org/,https://ape.socialcatalystlab.org/methodology,,025_project_ape_policy_evaluation_tournament,complete,2,1,2,2,5,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
26,"Project APE autonomy gradient: initialization, course correction, and revision mode",Predictive simulation & design,Direct social-science,"Exploit APE's own autonomy framing to compare minimal prompts, guided prompts, optional course correction, and human-triggered revision as distinct human intervention points.","APE sessions, initialization instructions, revision instructions, and paper versions",Agentic,Generative / Predictive,Idea generation through revision,Autonomous empirical economics,Public autonomous-research project,"Human initializer, human reviser, project operator",Relevance adjudicator; accountability and labor allocator; protocol and provenance architect,Transformed,Are human roles in autonomous research mostly moved to initialization and revision rather than removed?,"Initialization prompts, revision requests, version diffs, autonomy documentation","Error reduction, revision gains, dependence on human steering, role concentration at the edges",Minimal-prompt and heavily guided outputs converge in quality and content,Internal project design choices may not generalize to other autonomous-research systems,Medium,Public project / live website,High,Boundary,"APE explicitly documents where humans still intervene, which most autonomous-research systems do not.",https://ape.socialcatalystlab.org/methodology,https://ape.socialcatalystlab.org/,,026_project_ape_autonomy_gradient,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
27,REPRO-Bench agentic reproducibility assessment of social-science papers,Reproducibility & autonomous research,Direct social-science,Benchmark whether agents can assess computational reproducibility by aligning paper claims with code/data packages and reproduction reports.,"Paper PDFs, reproduction packages, and reproducibility scores",Agentic,,Reproducibility / paper assessment,Computational social science; metascience,Benchmark / reproducibility audit,"Reproducibility assessor, methods reviewer",Protocol and provenance architect; accountability and labor allocator,Robust,Is claim-level reproducibility assessment a durable human role even when execution can be automated?,"Assessment traces, reproduced outputs, claim-alignment judgments, error classifications","Assessment accuracy, failure modes, claim-output alignment, labor saved",Agents match human reproducibility judgments on real social-science packages,Benchmark tasks still provide agents with unusually convenient access to code and data,High,Peer-reviewed conference paper,High,Anchor,It separates rerunning code from adjudicating whether a paper's claims are actually supported.,https://aclanthology.org/2025.findings-acl.1210/,,,027_repro_bench_reproducibility_assessment,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
