source_id,case_id,source_role,source_title,authors / organization,year,source_type,evidence_tier,DOI,URL,local_raw_path,local_text_path,retrieval_date,access_status,why_included,notes
C005_S1,5,secondary,From Voices to Validity: Leveraging Large Language Models (LLMs) for Textual Analysis of Policy Stakeholder Interviews (author version / preprint),"Liu, Alex and Sun, Min",2025,journal article,peer-reviewed article,10.1177/23328584251374595,https://doi.org/10.1177/23328584251374595,,/Users/ryanwong/Human roles/p1_role_systems_db/04_extracted_text/005_human_developed_codebooks/C005_S1.txt,2026-04-07,open,Lawful open-access author version of the same peer-reviewed article whose journal landing page (C005_P1) is anti-bot blocked. Provides the substantive evidence used in wave-3 role coding.,Author-version deposit covering the same study as C005_P1.
C006_REGISTRY,6,registry,Repository workbook entry for Case 006,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C006_P1,6,primary,Generative AI for thematic analysis in a maternal health study: coding semistructured interviews using large language models,Yuhao Kang,2025,journal article,peer-reviewed article,10.1111/aphw.70038,https://pmc.ncbi.nlm.nih.gov/articles/PMC12083056/,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/006_maternal_health_interview_coding/C006_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/006_maternal_health_interview_coding/C006_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C007_REGISTRY,7,registry,Repository workbook entry for Case 007,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C007_P1,7,primary,"Compact large language models for title and abstract screening in systematic reviews: An assessment of feasibility, accuracy, and workload reduction",Valentina Baccolini,2026,journal article,peer-reviewed article,10.1017/rsm.2025.10044,https://www.cambridge.org/core/journals/research-synthesis-methods/article/compact-large-language-models-for-title-and-abstract-screening-in-systematic-reviews-an-assessment-of-feasibility-accuracy-and-workload-reduction/CB00FD70434780029EF6C027055331BA,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/007_agentic_title_abstract_screening/C007_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/007_agentic_title_abstract_screening/C007_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C008_REGISTRY,8,registry,Repository workbook entry for Case 008,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C008_P1,8,primary,StudyTypeTeller—Large language models to automatically classify research study types for systematic reviews,Benjamin Victor Ineichen,2025,journal article,peer-reviewed article,10.1017/rsm.2025.10031,https://www.cambridge.org/core/journals/research-synthesis-methods/article/studytypetellerlarge-language-models-to-automatically-classify-research-study-types-for-systematic-reviews/C50EB049FFE2D4367763814311C67B83,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/008_study_type_classification_review_triage/C008_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/008_study_type_classification_review_triage/C008_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C009_REGISTRY,9,registry,Repository workbook entry for Case 009,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C009_P1,9,primary,Synthesizing scientific literature with retrieval-augmented language models,"Hajishirzi, Hannaneh",2026,journal article,peer-reviewed article,10.1038/s41586-025-10072-4,https://www.nature.com/articles/s41586-025-10072-4,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/009_citation_grounded_multi_paper_synthesis/C009_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C009_S1,9,secondary,The Case of the Mysterious Citations,,,preprint,preprint,,https://arxiv.org/html/2602.05867v1,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/009_citation_grounded_multi_paper_synthesis/C009_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C010_REGISTRY,10,registry,Repository workbook entry for Case 010,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C010_P1,10,primary,The Case of the Mysterious Citations,,,preprint,preprint,,https://arxiv.org/html/2602.05867v1,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/010_citation_hallucination_checks/C010_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C010_S1,10,secondary,Synthesizing scientific literature with retrieval-augmented language models,"Hajishirzi, Hannaneh",2026,journal article,peer-reviewed article,10.1038/s41586-025-10072-4,https://www.nature.com/articles/s41586-025-10072-4,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/010_citation_hallucination_checks/C010_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C011_REGISTRY,11,registry,Repository workbook entry for Case 011,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C011_P1,11,primary,The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding,"Wang, Dashun",,preprint,preprint,,https://arxiv.org/abs/2601.15485,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/011_grant_proposal_ideation/C011_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C011_S1,11,secondary,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,"Hashimoto, Tatsunori",,preprint,preprint,,https://arxiv.org/abs/2409.04109,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/011_grant_proposal_ideation/C011_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C012_REGISTRY,12,registry,Repository workbook entry for Case 012,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C012_P1,12,primary,The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding,"Wang, Dashun",,preprint,preprint,,https://arxiv.org/abs/2601.15485,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/012_funding_pipeline_agenda_compression/C012_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/012_funding_pipeline_agenda_compression/C012_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C013_REGISTRY,13,registry,Repository workbook entry for Case 013,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C013_P1,13,primary,Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation,"Weld, Daniel S.",,preprint,preprint,,https://arxiv.org/abs/2409.14634,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/013_scideator_facet_recombination/C013_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C013_S1,13,secondary,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,"Hashimoto, Tatsunori",,preprint,preprint,,https://arxiv.org/abs/2409.04109,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/013_scideator_facet_recombination/C013_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C014_REGISTRY,14,registry,Repository workbook entry for Case 014,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C014_P1,14,primary,ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition,"Zhou, Dongzhan",,preprint,benchmark,,https://arxiv.org/abs/2503.21248,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/014_researchbench_discoverybench_tasks/C014_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C014_S1,14,secondary,DiscoveryBench: Towards Data-Driven Discovery with Large Language Models,"Clark, Peter",,preprint,benchmark,,https://arxiv.org/abs/2407.01725,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/014_researchbench_discoverybench_tasks/C014_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C015_REGISTRY,15,registry,Repository workbook entry for Case 015,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C015_P1,15,primary,Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,"Dong, Nanqing",,preprint,preprint,,https://arxiv.org/abs/2410.09403,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/015_multi_agent_idea_generation/C015_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Downloaded HTML snapshot; supplementary PDF saved at /Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1_pdf.pdf
C015_S1,15,secondary,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,"Hashimoto, Tatsunori",,preprint,preprint,,https://arxiv.org/abs/2409.04109,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/015_multi_agent_idea_generation/C015_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Downloaded HTML snapshot; supplementary PDF saved at /Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_S1_pdf.pdf
C016_REGISTRY,16,registry,Repository workbook entry for Case 016,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C016_P1,16,primary,AI Conversational Interviewing: Transforming Surveys with LLMs as Adaptive Interviewers,"Kreuter, Frauke",,preprint,preprint,,https://arxiv.org/abs/2410.01824,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/016_ai_conversational_interviewing/C016_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Downloaded HTML snapshot; supplementary PDF saved at /Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1_pdf.pdf
C017_REGISTRY,17,registry,Repository workbook entry for Case 017,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C017_P1,17,primary,Dynamic Surveys with AI-generated follow-ups and cluster reports,,,conference paper,accepted conference paper,,https://tech4good.soe.ucsc.edu/assets/docs/cscw-2025-dy.pdf,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/017_dynamic_surveys_followups/C017_P1.pdf,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/017_dynamic_surveys_followups/C017_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Downloaded PDF
C018_REGISTRY,18,registry,Repository workbook entry for Case 018,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C018_P1,18,primary,"Not a Collaborator or a Supervisor, but an Assistant: Striking the Balance Between Efficiency and Ownership in AI-incorporated Qualitative Data Analysis","Kong, Hidy",,preprint,preprint,,https://arxiv.org/abs/2509.18297,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/018_qda_delegation_preferences/C018_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Downloaded HTML snapshot; supplementary PDF saved at /Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_P1_pdf.pdf
C018_S1,18,secondary,From Assistance to Autonomy -- A Researcher Study on the Potential of AI Support for Qualitative Data Analysis,"Becker, Steffen",,preprint,preprint,,https://arxiv.org/abs/2501.19275,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/018_qda_delegation_preferences/C018_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C019_REGISTRY,19,registry,Repository workbook entry for Case 019,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C019_P1,19,primary,Reading children’s moral dramas in anthropological fieldnotes: A human–AI hybrid approach,Jose Manuel Hernandez,2025,forum article,commentary / forum / boundary evidence,10.1017/cfc.2025.10008,https://www.cambridge.org/core/journals/cambridge-forum-on-ai-culture-and-society/article/reading-childrens-moral-dramas-in-anthropological-fieldnotes-a-humanai-hybrid-approach/66341B0CAC7E8192FD1F3CA3E8BE106F,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/019_ai_assisted_fieldnote_memoing/C019_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C019_S1,19,secondary,From Assistance to Autonomy -- A Researcher Study on the Potential of AI Support for Qualitative Data Analysis,"Becker, Steffen",,preprint,preprint,,https://arxiv.org/abs/2501.19275,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/019_ai_assisted_fieldnote_memoing/C019_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Reused cached HTML/text snapshot
C020_REGISTRY,20,registry,Repository workbook entry for Case 020,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C020_P1,20,primary,Scaling hermeneutics: a guide to qualitative coding with LLMs for reflexive content analysis,"Dunivin, Zackary Okun",2025,journal article,peer-reviewed article,10.1140/epjds/s13688-025-00548-8,https://link.springer.com/article/10.1140/epjds/s13688-025-00548-8,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/020_reflexive_content_analysis_redesign/C020_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/020_reflexive_content_analysis_redesign/C020_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C021_REGISTRY,21,registry,Repository workbook entry for Case 021,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C021_P1,21,primary,Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,Jennifer M. Larson,2024,journal article,peer-reviewed article,10.1017/pan.2024.5,https://www.cambridge.org/core/journals/political-analysis/article/synthetic-replacements-for-human-survey-data-the-perils-of-large-language-models/B92267DC26195C7F36E63EA04A47D2FE,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/021_synthetic_respondents_benchmarked/C021_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C021_S1,21,secondary,Finetuning LLMs for Human Behavior Prediction in Social Science Experiments,"Bernstein, Michael S.",,preprint,preprint,,https://arxiv.org/abs/2509.05830,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/021_synthetic_respondents_benchmarked/C021_S1.txt,2026-04-07,open,Secondary source listed in the repository workbook.,Downloaded HTML snapshot; supplementary PDF saved at /Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1_pdf.pdf
C022_REGISTRY,22,registry,Repository workbook entry for Case 022,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
