extract_id,case_id,case_slug,source_id,source_type,page_or_section,extract_type,text_excerpt_or_paraphrase,supports_role,contradicts_role,supports_shrinkage,supports_split,supports_merge_or_rejection,notes
E003_004,3,003_multi_perspective_annotation,C003_P1,preprint,landing page / extracted text,method,"[2603.21404] Multi-Perspective LLM Annotations for Valid Analyses in Subjective Tasks

 
 

Skip to main content

Learn about arXiv becoming an independent nonprofit.

We gratefully acknowledge support from the Simons Foundation, 
member institutions
, and all contributors.

Donate

 
>
 
cs
 
>
 arXiv:2603.21404
 

Help
 | 
Advanced Search

All fields

Title

Author

Abstract

Comments

Journal reference

ACM classification

MSC classification

Report number

arXiv identifier

DOI

ORCID

arXiv author ID

Help pages

Full text

Search

open search

GO

open navigation menu

quick links

Login

Help Pages

About

Computer Science > Computation and Language

arXiv:2603.21404
 (cs)
 

 [Submitted on 22 Mar 2026]

Title:
Multi-Perspective LLM Annotations for Valid Analyses in Subjective Tasks

Authors:
Navya Mehrotra
, 
Adam Visokay
, 
Kristina Gligorić
 
View a PDF of the paper titled Multi-Perspective LLM Annotations for Valid Analyses in Subjective Tasks, by Navya Mehrotra and 1 other authors

View PDF

HTML (experimental)

Abstract:
Large language models are increasingly used to annotate texts, but their outputs reflect some human perspectives better than others. Existing methods",Construct boundary setter; perspective sampler,,no,yes,no,Auto-extracted text snippet from collected source.
E004_001,4,004_party_cue_perturbation,C004_REGISTRY,registry_workbook_entry,Repository row,role_claim,Hold policy text constant while varying party cues to test whether AI coding tracks politically loaded labels rather than substantive content.,Construct boundary setter; bias auditor,,no,yes,no,Workbook seed description preserved for provenance.
E004_002,4,004_party_cue_perturbation,C004_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Party labels can sometimes be substantively relevant context rather than pure bias,,Construct boundary setter; bias auditor,no,no,no,Repository curation note captured as rival explanation / caution.
E004_003,4,004_party_cue_perturbation,C004_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Cue changes do not systematically move outputs,,Construct boundary setter; bias auditor,no,no,no,Falsification condition recorded from repository seed.
E004_004,4,004_party_cue_perturbation,C004_P1,journal article,landing page / extracted text,method,"LLMs as annotators: the effect of party cues on labelling decisions by large language models | Humanities and Social Sciences Communications

Skip to main content

Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
 the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
 Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
 and JavaScript.

Advertisement

View all journals

Search

Log in

Content

Explore content

About 
the journal

Publish 
with us

Sign up for alerts

RSS feed

nature

humanities and social sciences communications

articles

article

 LLMs as annotators: the effect of party cues on labelling decisions by large language models
 

Download PDF

Download PDF

Article

Open access

Published: 
29 September 2025

LLMs as annotators: the effect of party cues on labelling decisions by large language models

Sebastián Vallejo Vera
1
 & 
Hunter Driggers
1
 

Humanities and Social Sciences Communications

volume
 12
, Article number: 
1530
 (
2025
)
 
Cite this article

2286 
Accesses

1 
Citations

16 
Altmetric",Construct boundary setter; bias auditor,,no,yes,no,Auto-extracted text snippet from collected source.
E005_001,5,005_human_developed_codebooks,C005_REGISTRY,registry_workbook_entry,Repository row,role_claim,Compare AI coding quality when the codebook is supplied by policy experts versus when AI proposes themes and labels first.,Construct boundary setter; context witness; protocol architect,,no,no,no,Workbook seed description preserved for provenance.
E005_002,5,005_human_developed_codebooks,C005_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Policy interviews may be more structured than ethnographic or highly sensitive data,,Construct boundary setter; context witness; protocol architect,no,no,no,Repository curation note captured as rival explanation / caution.
E005_003,5,005_human_developed_codebooks,C005_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,AI-first thematic analysis without human codebook development is equally specific and usable,,Construct boundary setter; context witness; protocol architect,no,no,no,Falsification condition recorded from repository seed.
E005_004,5,005_human_developed_codebooks,C005_P1,journal article,landing page / extracted text,method,Just a moment...,Construct boundary setter; context witness; protocol architect,,no,no,no,Auto-extracted text snippet from collected source.
E006_001,6,006_maternal_health_interview_coding,C006_REGISTRY,registry_workbook_entry,Repository row,role_claim,Use semistructured maternal-health interviews to test what is gained and lost when GenAI performs inductive coding and theme extraction.,Construct boundary setter; situated interlocutor; context witness,,no,no,no,Workbook seed description preserved for provenance.
E006_002,6,006_maternal_health_interview_coding,C006_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Applied health interviews may not generalize to more theory-laden or politically contested domains,,Construct boundary setter; situated interlocutor; context witness,no,no,no,Repository curation note captured as rival explanation / caution.
E006_003,6,006_maternal_health_interview_coding,C006_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,LLM coding captures nuance and downstream interpretive usefulness as well as human coding,,Construct boundary setter; situated interlocutor; context witness,no,no,no,Falsification condition recorded from repository seed.
E006_004,6,006_maternal_health_interview_coding,C006_P1,journal article,landing page / extracted text,method,"Generative AI for thematic analysis in a maternal health study: coding semistructured interviews using large language models - PMC
 

 Skip to main content
 

 An official website of the United States government
 

Here's how you know

Here's how you know

Official websites use .gov

 A
 
.gov
 website belongs to an official
 government organization in the United States.
 

Secure .gov websites use HTTPS

 A 
lock
 (
 

Lock

 Locked padlock icon
 

) or 
https://
 means you've safely
 connected to the .gov website. Share sensitive
 information only on official, secure websites.
 

 Search
 

 
 
 
 

Log in

 

 
 Dashboard
 

 
 

 

 
 Publications
 

 
 

 

 
 Account settings
 

 
 

 
 

 Log out

 
 
 
 

 Search…
 

 Search NCBI
 

 Primary site navigation
 

 Search
 

 Logged in as:
 

 

 
 Dashboard
 

 
 

 

 
 Publications
 

 
 

 

 
 Account settings
 

 
 

 
 

 Log in

 
 
 
 

Search PMC Full-Text Archive

Search in PMC

 Journal List
 

 User Guide
 

PERMALINK

Copy

 As a library, NLM provides access to scientific literature. Inclusion in an NLM database does not imply endorsement of, or agreement with,
 the contents by NLM or the National Institutes of He",Construct boundary setter; situated interlocutor; context witness,,no,no,no,Auto-extracted text snippet from collected source.
E007_001,7,007_agentic_title_abstract_screening,C007_REGISTRY,registry_workbook_entry,Repository row,role_claim,Test AI-first screening on mixed corpora to see whether first-pass screening shrinks while protocol design and corpus rescue remain human.,Protocol and provenance architect; corpus pluralist; shrinking first-pass screener,,yes,no,no,Workbook seed description preserved for provenance.
E007_002,7,007_agentic_title_abstract_screening,C007_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Access to subscriptions and topic difficulty can mimic AI effects,,Protocol and provenance architect; corpus pluralist; shrinking first-pass screener,no,no,no,Repository curation note captured as rival explanation / caution.
E007_003,7,007_agentic_title_abstract_screening,C007_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,AI-first workflows preserve gray and multilingual evidence without human rescue,,Protocol and provenance architect; corpus pluralist; shrinking first-pass screener,no,no,no,Falsification condition recorded from repository seed.
E007_004,7,007_agentic_title_abstract_screening,C007_P1,journal article,landing page / extracted text,method,"Compact large language models for title and abstract screening in systematic reviews: An assessment of feasibility, accuracy, and workload reduction | Research Synthesis Methods | Cambridge Core

 Skip to main content

 Accessibility help

Login Alert

Cancel

Log in

×

×

 Discover Content 
 Products and Services 
Register
Log In
 (0) Cart 

 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Search
 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Browse
Services
Open research
Institution Login
Search

 

 Hostname: page-component-77f85d65b8-pkds5
 Total loading time: 0
 Render date: 2026-04-06T00:42:22.911Z
 Has data issue: false
 hasContentIssue false
 
 
 
Home
 
>
Journals
 
>
Research Synthesis Methods
 
>
Volume 17 Issue 2
 
>
Compact large language models for title and abstract...
 
English

 Français
 
 
 
 
 
Research Synthesis Methods
 
 
 
 
 
Article contents
 
Abstract
 
 
Highlights
 
Introduction
 
Methods
 
Results
 
Discussion
 
Conclusions
 
Author contributions
 
Competing interest statement
 
Data availability statement
 
Funding statement
 
Ethics approval statement
 
Footnotes
 
Refer",Protocol and provenance architect; corpus pluralist; shrinking first-pass screener,,yes,no,no,Auto-extracted text snippet from collected source.
E008_001,8,008_study_type_classification_review_triage,C008_REGISTRY,registry_workbook_entry,Repository row,role_claim,Benchmark specialized classifiers and LLMs for study-type classification in reviews where social-policy evidence mixes methods and weak metadata.,Corpus pluralist; protocol architect,,no,no,no,Workbook seed description preserved for provenance.
E008_002,8,008_study_type_classification_review_triage,C008_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Benchmark corpora may be cleaner than actual policy-review inputs,,Corpus pluralist; protocol architect,no,no,no,Repository curation note captured as rival explanation / caution.
E008_003,8,008_study_type_classification_review_triage,C008_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Predictive triage works equally well on heterogeneous and poorly structured sources,,Corpus pluralist; protocol architect,no,no,no,Falsification condition recorded from repository seed.
E008_004,8,008_study_type_classification_review_triage,C008_P1,journal article,landing page / extracted text,method,"StudyTypeTeller—Large language models to automatically classify research study types for systematic reviews | Research Synthesis Methods | Cambridge Core

 Skip to main content

 Accessibility help

Login Alert

Cancel

Log in

×

×

 Discover Content 
 Products and Services 
Register
Log In
 (0) Cart 

 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Search
 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Browse
Services
Open research
Institution Login
Search

 

 Hostname: page-component-77f85d65b8-lfk5g
 Total loading time: 0
 Render date: 2026-04-07T11:00:08.789Z
 Has data issue: false
 hasContentIssue false
 
 
 
Home
 
>
Journals
 
>
Research Synthesis Methods
 
>
Volume 16 Issue 6
 
>
StudyTypeTeller—Large language models to automatically...
 
English

 Français
 
 
 
 
 
Research Synthesis Methods
 
 
 
 
 
Article contents
 
Abstract
 
 
Highlights
 
Abbreviations
 
Introduction
 
Materials and methods
 
Results
 
Discussion
 
Author contributions
 
Competing interest statement
 
Data availability statement
 
Funding statement
 
Ethics statement
 
Footnotes
 
References
 
 
StudyTypeTeller—Large",Corpus pluralist; protocol architect,,no,no,no,Auto-extracted text snippet from collected source.
E009_001,9,009_citation_grounded_multi_paper_synthesis,C009_REGISTRY,registry_workbook_entry,Repository row,role_claim,Use retrieval-augmented synthesis to generate evidence maps or literature-survey memos from a fixed social-policy corpus with citation checking.,Protocol and provenance architect; corpus pluralist; accountability and labor allocator,,no,no,no,Workbook seed description preserved for provenance.
E009_002,9,009_citation_grounded_multi_paper_synthesis,C009_REGISTRY,registry_workbook_entry,Repository row,counterevidence,"OpenScholar is not social-science-specific, so transfer to policy literatures must be verified",,Protocol and provenance architect; corpus pluralist; accountability and labor allocator,no,no,no,Repository curation note captured as rival explanation / caution.
E009_003,9,009_citation_grounded_multi_paper_synthesis,C009_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Grounded and non-grounded systems perform equally well on claim support and coverage,,Protocol and provenance architect; corpus pluralist; accountability and labor allocator,no,no,no,Falsification condition recorded from repository seed.
E009_004,9,009_citation_grounded_multi_paper_synthesis,C009_P1,journal article,landing page / extracted text,method,"Synthesizing scientific literature with retrieval-augmented language models | Nature

Skip to main content

Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
 the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
 Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
 and JavaScript.

Advertisement

View all journals

Search

Log in

Content

Explore content

About 
the journal

Publish 
with us

Sign up for alerts

RSS feed

nature

articles

article

 Synthesizing scientific literature with retrieval-augmented language models
 

Download PDF

Download PDF

Article

Open access

Published: 
04 February 2026

Synthesizing scientific literature with retrieval-augmented language models

Akari Asai
 
 
ORCID: 
orcid.org/0000-0002-1055-6657
1
,
2
, 
Jacqueline He
1
 
na1
, 
Rulin Shao
1
 
na1
, 
Weijia Shi
1
, 
Amanpreet Singh
2
, 
Joseph Chee Chang
2
, 
Kyle Lo
2
, 
Luca Soldaini
2
, 
Sergey Feldman
2
, 
Mike D’Arcy
 
 
ORCID: 
orcid.org/0000-0003-0355-7157
2
, 
David Wadden
2
, 
Matt Latzke
 
 
ORCID: 
orcid.org/0000-0002-9984",Protocol and provenance architect; corpus pluralist; accountability and labor allocator,,no,no,no,Auto-extracted text snippet from collected source.
E010_001,10,010_citation_hallucination_checks,C010_REGISTRY,registry_workbook_entry,Repository row,role_claim,Track when humans verify or fail to verify citations inserted by AI during literature-review drafting and evidence synthesis.,Accountability and labor allocator; protocol and provenance architect,,no,no,yes,Workbook seed description preserved for provenance.
E010_002,10,010_citation_hallucination_checks,C010_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Poor citation habits could predate AI and inflate apparent AI effects,,Accountability and labor allocator; protocol and provenance architect,no,no,no,Repository curation note captured as rival explanation / caution.
E010_003,10,010_citation_hallucination_checks,C010_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Citation support tools eliminate hallucination risk without extra human verification work,,Accountability and labor allocator; protocol and provenance architect,no,no,no,Falsification condition recorded from repository seed.
E010_004,10,010_citation_hallucination_checks,C010_P1,preprint,landing page / extracted text,method,"The Case of the Mysterious Citations

USE AND MISUSE OF LLMS IN ACADEMIC WRITING

METHODOLOGY

MYSTERIOUS CITATIONS

Author and DOI Errors

AI-Generated Citations

AI-Generated Papers

DISCUSSION

CONCLUSION

LIMITATIONS

ACKNOWLEDGMENTS

\jvol

XX

\jnum
XX

\paper
1

\jmonth
Feb
 
\jtitle
preprint. SAND2026-16932O

The Case of the Mysterious Citations

Amanda Bienz

University of New Mexico, Albuquerque, NM, USA

  

Carl Pearson

Sandia National Laboratories, Albuquerque, NM, USA

  

Simon Garcia de Gonzalo

Sandia National Laboratories, Albuquerque, NM, USA

(2026)

Abstract

Mysterious citations are routinely appearing in peer-reviewed publications throughout the scientific community. In this paper, we developed an automated pipeline and examine the proceedings of four major high-performance computing conferences, comparing the accuracy of citations between the 2021 and 2025 proceedings. While none of the 2021 papers contained mysterious citations, every 2025 proceeding did, impacting 2-6% of published papers. In addition, we observe a sharp rise in paper title and authorship errors, motivating the need for stronger citation-verification practice. No author within our dataset",Accountability and labor allocator; protocol and provenance architect,,no,no,yes,Auto-extracted text snippet from collected source.
E011_001,11,011_grant_proposal_ideation,C011_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Compare AI-assisted and non-assisted proposal ideation under real funding calls to test whether AI changes what gets proposed, not just how it is written.",Relevance adjudicator; accountability and labor allocator,,no,no,no,Workbook seed description preserved for provenance.
E011_002,11,011_grant_proposal_ideation,C011_REGISTRY,registry_workbook_entry,Repository row,counterevidence,"Austerity, field maturity, and call design can compress agendas even without AI",,Relevance adjudicator; accountability and labor allocator,no,no,no,Repository curation note captured as rival explanation / caution.
E011_003,11,011_grant_proposal_ideation,C011_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,AI use leaves distinctiveness and stakeholder relevance unchanged or improves both,,Relevance adjudicator; accountability and labor allocator,no,no,no,Falsification condition recorded from repository seed.
E011_004,11,011_grant_proposal_ideation,C011_P1,preprint,landing page / extracted text,method,"[2601.15485] The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding

 
 

Skip to main content

Learn about arXiv becoming an independent nonprofit.

We gratefully acknowledge support from the Simons Foundation, 
member institutions
, and all contributors.

Donate

 
>
 
cs
 
>
 arXiv:2601.15485
 

Help
 | 
Advanced Search

All fields

Title

Author

Abstract

Comments

Journal reference

ACM classification

MSC classification

Report number

arXiv identifier

DOI

ORCID

arXiv author ID

Help pages

Full text

Search

open search

GO

open navigation menu

quick links

Login

Help Pages

About

Computer Science > Digital Libraries

arXiv:2601.15485
 (cs)
 

 [Submitted on 21 Jan 2026]

Title:
The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding

Authors:
Yifan Qian
, 
Zhe Wen
, 
Alexander C. Furnas
, 
Yue Bai
, 
Erzhuo Shao
, 
Dashun Wang
 
View a PDF of the paper titled The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding, by Yifan Qian and 5 other authors

View PDF

HTML (experimental)

Abstract:
Federal research funding shapes the direction, diversity, and im",Relevance adjudicator; accountability and labor allocator,,no,no,no,Auto-extracted text snippet from collected source.
E012_001,12,012_funding_pipeline_agenda_compression,C012_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Link inferred AI involvement in submitted proposals to semantic distinctiveness, reviewer reactions, and downstream publication novelty.",Relevance adjudicator; accountability and labor allocator,,no,no,no,Workbook seed description preserved for provenance.
E012_002,12,012_funding_pipeline_agenda_compression,C012_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Causal inference is hard because ambitious labs may both use AI and write better proposals,,Relevance adjudicator; accountability and labor allocator,no,no,no,Repository curation note captured as rival explanation / caution.
E012_003,12,012_funding_pipeline_agenda_compression,C012_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Higher AI involvement predicts equal or greater long-run novelty,,Relevance adjudicator; accountability and labor allocator,no,no,no,Falsification condition recorded from repository seed.
E012_004,12,012_funding_pipeline_agenda_compression,C012_P1,preprint,landing page / extracted text,method,"[2601.15485] The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding

 
 

Skip to main content

Learn about arXiv becoming an independent nonprofit.

We gratefully acknowledge support from the Simons Foundation, 
member institutions
, and all contributors.

Donate

 
>
 
cs
 
>
 arXiv:2601.15485
 

Help
 | 
Advanced Search

All fields

Title

Author

Abstract

Comments

Journal reference

ACM classification

MSC classification

Report number

arXiv identifier

DOI

ORCID

arXiv author ID

Help pages

Full text

Search

open search

GO

open navigation menu

quick links

Login

Help Pages

About

Computer Science > Digital Libraries

arXiv:2601.15485
 (cs)
 

 [Submitted on 21 Jan 2026]

Title:
The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding

Authors:
Yifan Qian
, 
Zhe Wen
, 
Alexander C. Furnas
, 
Yue Bai
, 
Erzhuo Shao
, 
Dashun Wang
 
View a PDF of the paper titled The Rise of Large Language Models and the Direction and Impact of US Federal Research Funding, by Yifan Qian and 5 other authors

View PDF

HTML (experimental)

Abstract:
Federal research funding shapes the direction, diversity, and im",Relevance adjudicator; accountability and labor allocator,,no,no,no,Auto-extracted text snippet from collected source.
E013_001,13,013_scideator_facet_recombination,C013_REGISTRY,registry_workbook_entry,Repository row,role_claim,Adapt facet-recombination interfaces to social-science dissertation or proposal ideation and compare human-only with human-LLM compound ideation.,Relevance adjudicator; mechanism disciplinarian,,no,no,no,Workbook seed description preserved for provenance.
E013_002,13,013_scideator_facet_recombination,C013_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Existing Scideator evidence is not social-science-specific and may overstate transfer,,Relevance adjudicator; mechanism disciplinarian,no,no,no,Repository curation note captured as rival explanation / caution.
E013_003,13,013_scideator_facet_recombination,C013_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Human-LLM ideation does not outperform simple prompting or human-only ideation on meaningful criteria,,Relevance adjudicator; mechanism disciplinarian,no,no,no,Falsification condition recorded from repository seed.
E013_004,13,013_scideator_facet_recombination,C013_P1,preprint,landing page / extracted text,method,"[2409.14634] Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation

 
 

Skip to main content

Learn about arXiv becoming an independent nonprofit.

We gratefully acknowledge support from the Simons Foundation, 
member institutions
, and all contributors.

Donate

 
>
 
cs
 
>
 arXiv:2409.14634
 

Help
 | 
Advanced Search

All fields

Title

Author

Abstract

Comments

Journal reference

ACM classification

MSC classification

Report number

arXiv identifier

DOI

ORCID

arXiv author ID

Help pages

Full text

Search

open search

GO

open navigation menu

quick links

Login

Help Pages

About

Computer Science > Human-Computer Interaction

arXiv:2409.14634
 (cs)
 

 [Submitted on 23 Sep 2024 (
v1
), last revised 2 Mar 2026 (this version, v6)]

Title:
Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation

Authors:
Marissa Radensky
, 
Simra Shahid
, 
Raymond Fok
, 
Pao Siangliulue
, 
Tom Hope
, 
Daniel S. Weld
 
View a PDF of the paper titled Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation, by Marissa Radensky and Simra Shahid and 3 other",Relevance adjudicator; mechanism disciplinarian,,no,no,no,Auto-extracted text snippet from collected source.
E014_001,14,014_researchbench_discoverybench_tasks,C014_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Use benchmark tasks drawn from sociology and economics to test whether AI supports inspiration retrieval, hypothesis composition, or ranking differently.",Mechanism disciplinarian; relevance adjudicator,,no,yes,no,Workbook seed description preserved for provenance.
E014_002,14,014_researchbench_discoverybench_tasks,C014_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Benchmarks simplify open-ended theory work and may understate institutional context,,Mechanism disciplinarian; relevance adjudicator,no,no,no,Repository curation note captured as rival explanation / caution.
E014_003,14,014_researchbench_discoverybench_tasks,C014_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,"LLMs perform equally well across retrieval, composition, and ranking on social-science tasks",,Mechanism disciplinarian; relevance adjudicator,no,no,no,Falsification condition recorded from repository seed.
E014_004,14,014_researchbench_discoverybench_tasks,C014_P1,preprint,landing page / extracted text,method,"[2503.21248] ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition

 
 

Skip to main content

Learn about arXiv becoming an independent nonprofit.

We gratefully acknowledge support from the Simons Foundation, 
member institutions
, and all contributors.

Donate

 
>
 
cs
 
>
 arXiv:2503.21248
 

Help
 | 
Advanced Search

All fields

Title

Author

Abstract

Comments

Journal reference

ACM classification

MSC classification

Report number

arXiv identifier

DOI

ORCID

arXiv author ID

Help pages

Full text

Search

open search

GO

open navigation menu

quick links

Login

Help Pages

About

Computer Science > Computation and Language

arXiv:2503.21248
 (cs)
 

 [Submitted on 27 Mar 2025 (
v1
), last revised 1 Jul 2025 (this version, v2)]

Title:
ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition

Authors:
Yujie Liu
, 
Zonglin Yang
, 
Tong Xie
, 
Jinjie Ni
, 
Ben Gao
, 
Yuqiang Li
, 
Shixiang Tang
, 
Wanli Ouyang
, 
Erik Cambria
, 
Dongzhan Zhou
 
View a PDF of the paper titled ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition, by Yujie Liu a",Mechanism disciplinarian; relevance adjudicator,,no,yes,no,Auto-extracted text snippet from collected source.
E015_001,15,015_multi_agent_idea_generation,C015_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Treat agent teams that brainstorm, critique, and refine ideas as a boundary case for whether collaborative AI can displace human agenda setting.",Relevance adjudicator; mechanism disciplinarian,,no,no,no,Workbook seed description preserved for provenance.
E015_002,15,015_multi_agent_idea_generation,C015_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Most evidence comes from non-social-science domains and model-internal evaluations,,Relevance adjudicator; mechanism disciplinarian,no,no,no,Repository curation note captured as rival explanation / caution.
E015_003,15,015_multi_agent_idea_generation,C015_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Multi-agent idea generation produces socially relevant and mechanism-rich agendas without human filtering,,Relevance adjudicator; mechanism disciplinarian,no,no,no,Falsification condition recorded from repository seed.
