case_id,role_label,role_group,status_in_case,confidence,evidence_summary
3,Calibration architect,split_candidate,transformed,medium,"The paper introduces IPW rectification and bootstrap confidence intervals specifically to calibrate LLM-proxy-based estimates to group means, a new calibration sub-task built around LLM involvement with explicit before/after framing (single-scalar PPI to vector-valued PDI)."
3,Situated interlocutor,split_candidate,robust,high,"Human annotators speaking from their demographic position are treated as essential witnesses whose judgments cannot be faithfully simulated by persona prompting ('fails precisely for the groups it is meant to represent')."
3,Context witness,split_candidate,robust,medium,"Demographic context (gender, age, education) is treated as the axis along which witness testimony varies and whose preservation is the inferential object; chi-squared tests establish that ratings differ significantly by these contexts."
3,Routine first-pass screener,shrinking_task_cluster,not_applicable,high,
3,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,not_applicable,high,"Authors explicitly negate the ground-truth premise: 'in subjective tasks, disagreement is constitutive, and we show how these repair methods apply in settings where no single correct label can be defined,' which counter-indicates this role."
3,Structural prose polisher / drafter,shrinking_task_cluster,not_applicable,high,
7,Relevance adjudicator,starting_role,shrinking,high,"Title/abstract screening is the canonical relevance adjudication task, and the paper's central finding is that LLMs can perform it as 'first-screener or triage tool' with up to 100% sensitivity against human ground truth; residual human labor is characterized as full-text screening and verification of model-included records."
7,Mechanism disciplinarian,starting_role,not_applicable,high,
7,Construct and perspective boundary setter,starting_role,not_applicable,high,
7,Corpus pluralist,starting_role,conditional,medium,"Authors use three diverse systematic reviews (VL, AB, COVID-19) and note performance varies by review characteristics (e.g., COVID-19's RCT inclusion yielded higher accuracy due to structured abstracts), specifying corpus-level moderators of LLM adequacy."
7,Protocol and provenance architect,starting_role,transformed,medium,"The paper proposes a new screening protocol (three-component structured prompt, rating thresholds, majority voting, parallel-vs-series integration) built around LLM involvement, with explicit before/after framing in the discussion of how LLMs should integrate into Cochrane/PRISMA workflows."
7,Counterfactual and transportability judge,starting_role,conditional,medium,"Authors explicitly discuss conditions under which findings may or may not transport (small sample of reviews, compact vs. larger models, knowledge cut-off contamination, zero-shot vs. alternative prompting), specifying moderators but retaining a claim of promising generalizability."
7,Situated interlocutor / context witness,starting_role,not_applicable,high,
7,Accountability and labor allocator,starting_role,transformed,high,"The conclusion explicitly redefines the human reviewer's role as 'first-screener/triage' partner or 'second-screener in parallel/series,' with a new sub-task (setting rating thresholds, resolving LLM-human disagreement) introduced as new labor allocation between human and AI."
7,Construct boundary setter,split_candidate,not_applicable,high,
7,Perspective sampler,split_candidate,not_applicable,high,
7,Counterfactual / transportability judge,split_candidate,conditional,medium,"Authors specify conditions (review topic, structured abstracts, knowledge cut-off) that moderate generalization and note optimal thresholds vary by review and model."
7,Calibration architect,split_candidate,transformed,medium,"The paper introduces a new calibration sub-task: setting rating thresholds (25/50/75), optimal-threshold estimation via ROC, and majority-voting ensemble, redefined explicitly around LLM output behavior."
7,Situated interlocutor,split_candidate,not_applicable,high,
7,Context witness,split_candidate,not_applicable,high,
7,Routine first-pass screener,shrinking_task_cluster,shrinking,high,"Title/abstract screening is a canonical high-consensus, ground-truth-rich task; LLMs achieve 100% sensitivity against full-text-screening ground truth at moderate thresholds, with workload savings up to ~90%, and residual human labor is framed as triage/verification of the narrower included set."
7,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,shrinking,high,"Human screening decisions serve as ground truth and LLMs achieve comparable sensitivity with substantial workload savings, fitting the shrinking pattern; the paper notes low inter-reviewer disagreement as a typical condition."
7,Structural prose polisher / drafter,shrinking_task_cluster,not_applicable,high,
27,Relevance adjudicator,starting_role,not_applicable,high,
27,Mechanism disciplinarian,starting_role,not_applicable,high,
27,Construct and perspective boundary setter,starting_role,robust,medium,"The reproducibility score rubric (1-4) operationalizes a construct whose boundaries were set by a human team (lead author plus 5-member cross-verifier including a legal expert) through consensus; authors treat these boundaries as load-bearing ground truth against which agent performance is measured."
27,Corpus pluralist,starting_role,conditional,medium,"Authors deliberately draw from four sources (mass reproduction, I4R, Retraction Watch, Twitter/X) to balance score distributions and include diverse programming languages and data formats, with explicit analysis of how language/format moderators affect agent performance."
27,Protocol and provenance architect,starting_role,robust,high,"The paper explicitly defines the reproducibility-assessment protocol (standard two-phase procedure per Brodeur et al. 2024) as the load-bearing reference standard that agents must emulate, with limitations framed around agent deviations from protocol steps."
27,Counterfactual and transportability judge,starting_role,conditional,medium,"Authors validate generalizability by computing Spearman correlations between paper features and scores (|ρ|<0.1), specifying the moderator under which reproducibility assessments transport across feature variation."
27,Situated interlocutor / context witness,starting_role,not_applicable,high,
27,Accountability and labor allocator,starting_role,robust,high,"The paper explicitly calls out the cost of human labor (347 social scientists for 110 papers; 5+ years for 100 studies) and frames its contribution around automating this labor; human annotation of ground-truth scores is retained as essential and load-bearing."
27,Construct boundary setter,split_candidate,robust,medium,"The 1-4 reproducibility score rubric with fine-grained distinctions between minor coding errors (score 2) and reporting discrepancies (score 3) is human-authored and treated as the ground-truth construct boundary definition."
27,Perspective sampler,split_candidate,not_applicable,high,
27,Counterfactual / transportability judge,split_candidate,conditional,medium,"Authors check transportability via correlation between paper features and reproducibility scores, finding no meaningful correlations, which specifies the condition under which benchmark results generalize."
27,Calibration architect,split_candidate,transformed,medium,"REPRO-Bench introduces a new calibration artifact (112-task benchmark with applicability and adjusted accuracy metrics) built specifically around agent involvement, and REPRO-Agent introduces new tool-use calibration procedures."
27,Situated interlocutor,split_candidate,not_applicable,high,
27,Context witness,split_candidate,not_applicable,high,
27,Routine first-pass screener,shrinking_task_cluster,not_applicable,high,
27,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,unclear,low,"Reproducibility scoring has ground truth (from authoritative reproduction reports) but agent accuracy tops out at 36.6% for the authors' own REPRO-Agent and 21.4% for best existing agent, below random chance; the evidence is contradictory between the task being ground-truth-rich and AI being far from matching humans, so a shrinking pattern cannot yet be coded."
27,Structural prose polisher / drafter,shrinking_task_cluster,not_applicable,high,
