artifact_id,case_id,artifact_type,artifact_description,local_path,source_id,usable_for_analysis,notes
A011_001,11,other,Draft histories,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_P1.html,C011_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A011_002,11,other,semantic-distinctiveness scores,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_P1.html,C011_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A011_003,11,other,reviewer comments,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_P1.html,C011_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A011_004,11,other,AI-use logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/011_grant_proposal_ideation/C011_P1.html,C011_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A012_001,12,other,Proposal text corpora,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/012_funding_pipeline_agenda_compression/C012_P1.html,C012_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A012_002,12,other,semantic embeddings,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/012_funding_pipeline_agenda_compression/C012_P1.html,C012_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A012_003,12,other,award outcomes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/012_funding_pipeline_agenda_compression/C012_P1.html,C012_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A012_004,12,repo,reviewer reports,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/012_funding_pipeline_agenda_compression/C012_P1.html,C012_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A013_001,13,other,Facet selections,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_P1.html,C013_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A013_002,13,other,idea sketches,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_P1.html,C013_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A013_003,13,other,novelty checks,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_P1.html,C013_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A013_004,13,other,revision notes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/013_scideator_facet_recombination/C013_P1.html,C013_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A014_001,14,benchmark_log,Benchmark traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_P1.html,C014_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A014_002,14,other,retrieved inspirations,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_P1.html,C014_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A014_003,14,other,generated hypotheses,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_P1.html,C014_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A014_004,14,other,ranking outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/014_researchbench_discoverybench_tasks/C014_P1.html,C014_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A015_001,15,other,Idea portfolios,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1.html,C015_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A015_002,15,other,novelty metrics,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1.html,C015_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A015_003,15,other,reviewer ratings,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1.html,C015_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A015_004,15,prompt_log,comparison prompts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/015_multi_agent_idea_generation/C015_P1.html,C015_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A016_001,16,other,Repair episodes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,C016_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A016_002,16,other,follow-up questions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,C016_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A016_003,16,other,trust ratings,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,C016_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A016_004,16,other,dropout data,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,C016_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A016_005,16,other,note logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/016_ai_conversational_interviewing/C016_P1.html,C016_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A017_001,17,prompt_log,Follow-up prompts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/017_dynamic_surveys_followups/C017_P1.pdf,C017_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A017_002,17,other,cluster logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/017_dynamic_surveys_followups/C017_P1.pdf,C017_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A017_003,17,other,stakeholder interviews,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/017_dynamic_surveys_followups/C017_P1.pdf,C017_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A017_004,17,other,ranking data,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/017_dynamic_surveys_followups/C017_P1.pdf,C017_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A018_001,18,other,Preference interviews,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_P1.html,C018_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A018_002,18,other,scenario rankings,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_P1.html,C018_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A018_003,18,other,trust/ownership themes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/018_qda_delegation_preferences/C018_P1.html,C018_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A019_001,19,memo_trail,Memo versions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_P1.html,C019_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A019_002,19,other,ambiguity-retention markers,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_P1.html,C019_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A019_003,19,other,analytic corrections,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_P1.html,C019_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A019_004,19,other,reflexive logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/019_ai_assisted_fieldnote_memoing/C019_P1.html,C019_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A020_001,20,prompt_log,Prompt templates,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/020_reflexive_content_analysis_redesign/C020_P1.html,C020_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A020_002,20,codebook,codebook redesigns,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/020_reflexive_content_analysis_redesign/C020_P1.html,C020_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A020_003,20,other,analyst reflections,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/020_reflexive_content_analysis_redesign/C020_P1.html,C020_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A020_004,20,other,comparison outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/020_reflexive_content_analysis_redesign/C020_P1.html,C020_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A021_001,21,prompt_log,Prompt templates,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1.html,C021_S1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A021_002,21,other,synthetic responses,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1.html,C021_S1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A021_003,21,other,regression outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1.html,C021_S1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A021_004,21,other,subgroup breakdowns,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/021_synthetic_respondents_benchmarked/C021_S1.html,C021_S1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A022_001,22,other,Training/eval splits,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/022_socsci210_behavior_simulators/C022_P1.html,C022_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A022_002,22,other,distributional error metrics,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/022_socsci210_behavior_simulators/C022_P1.html,C022_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A022_003,22,other,fairness metrics,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/022_socsci210_behavior_simulators/C022_P1.html,C022_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A022_004,22,other,screening decisions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/022_socsci210_behavior_simulators/C022_P1.html,C022_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A023_001,23,forecast_log,Forecast logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/023_forecasting_before_field_experiments/C023_P1.html,C023_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A023_002,23,memo_trail,redesign memos,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/023_forecasting_before_field_experiments/C023_P1.html,C023_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A023_003,23,other,preregistration diffs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/023_forecasting_before_field_experiments/C023_P1.html,C023_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A023_004,23,other,final outcomes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/023_forecasting_before_field_experiments/C023_P1.html,C023_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A024_001,24,other,Agent traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/024_ai_multiverse_nonstandard_errors/C024_P1.html,C024_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A024_002,24,other,measure-choice forks,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/024_ai_multiverse_nonstandard_errors/C024_P1.html,C024_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A024_003,24,other,revision-stage convergence,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/024_ai_multiverse_nonstandard_errors/C024_P1.html,C024_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A024_004,24,repo,report outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/024_ai_multiverse_nonstandard_errors/C024_P1.html,C024_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A025_001,25,prompt_log,Prompt seeds,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/025_project_ape_policy_evaluation_tournament/C025_P1.html,C025_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A025_002,25,other,leaderboard stats,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/025_project_ape_policy_evaluation_tournament/C025_P1.html,C025_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A025_003,25,version_history,paper versions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/025_project_ape_policy_evaluation_tournament/C025_P1.html,C025_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A025_004,25,other,replication materials,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/025_project_ape_policy_evaluation_tournament/C025_P1.html,C025_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A025_005,25,repo,public issue reports,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/025_project_ape_policy_evaluation_tournament/C025_P1.html,C025_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A026_001,26,prompt_log,Initialization prompts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/026_project_ape_autonomy_gradient/C026_P1.html,C026_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A026_002,26,other,revision requests,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/026_project_ape_autonomy_gradient/C026_P1.html,C026_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A026_003,26,version_history,version diffs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/026_project_ape_autonomy_gradient/C026_P1.html,C026_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A026_004,26,other,autonomy documentation,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/026_project_ape_autonomy_gradient/C026_P1.html,C026_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A027_001,27,other,Assessment traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/027_repro_bench_reproducibility_assessment/C027_P1.html,C027_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A027_002,27,other,reproduced outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/027_repro_bench_reproducibility_assessment/C027_P1.html,C027_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A027_003,27,other,claim-alignment judgments,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/027_repro_bench_reproducibility_assessment/C027_P1.html,C027_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A027_004,27,other,error classifications,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/027_repro_bench_reproducibility_assessment/C027_P1.html,C027_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A028_001,28,other,Error logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/028_agent_based_code_package_repair/C028_P1.html,C028_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A028_002,28,other,patch files,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/028_agent_based_code_package_repair/C028_P1.html,C028_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A028_003,28,other,rerun traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/028_agent_based_code_package_repair/C028_P1.html,C028_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A028_004,28,other,success/failure by complexity level,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/028_agent_based_code_package_repair/C028_P1.html,C028_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
